a1,a2,a3,a4,a5,a6,a7,a8,b
577,577,577,577,8.40642E+12,14569190915,76332,561,577
561,561,558,561,7.00752E+12,12491198051,65308,545,561
545,545,545,545,3.17103E+12,5818400805,30226,530,545
522,543,513,530,3.35591E+12,6331782738,39889,528,543
528,528,525,528,2.29984E+12,4357376948,25849,513,528
513,513,513,513,1.49928E+11,292257917,1275,528,513
523,528,518,528,1.65457E+12,3135798306,19011,513,528
511,529,507,513,1.29798E+12,2527855341,17819,522,512
522,526,522,522,8.96822E+11,1717788104,11097,538,522
533,549,532,538,2.15775E+12,4012946490,28157,548,532
564,572,540,548,3.10586E+12,5667716875,40627,556,540
556,556,554,556,1.88239E+12,3385721898,20294,540,556
540,540,537,540,5.65618E+11,1047470049,5944,525,540
506,535,506,525,1.35848E+12,2585227620,18786,521,535
523,523,512,521,1.88701E+12,3620273303,26008,508,514
508,508,508,508,1.82824E+11,359888845,2124,494,508
493,494,492,494,4.40152E+11,891070621,5578,480,494
477,495,477,480,1.95472E+12,4069163459,24713,491,492
491,492,491,491,1.62783E+12,3315190791,17244,506,491
